0,255.228625MBps,7.413073ms
1,34.285625MBps,514.433us
2,132.977875MBps,131.098us
3,255.228625MBps,7.413073ms
4,132.977875MBps,131.098us
5,41.279125MBps,59.904us
6,34.285625MBps,514.433us
7,34.285625MBps,514.433us
8,34.285625MBps,514.433us
9,34.285625MBps,514.433us
10,34.285625MBps,514.433us
11,118.6825MBps,136.931us
12,41.279125MBps,59.904us
13,255.228625MBps,7.413073ms
14,118.6825MBps,136.931us
15,132.977875MBps,131.098us
16,34.285625MBps,514.433us
17,118.6825MBps,136.931us
18,34.285625MBps,514.433us
19,34.285625MBps,514.433us
20,255.228625MBps,7.413073ms
21,41.279125MBps,59.904us
22,11.618875MBps,189.98us
23,10.099625MBps,479.78us
24,10.099625MBps,479.78us
25,8.015125MBps,35.076518ms
26,21.41475MBps,29.5890617ms
27,8.015125MBps,35.076518ms
28,15.376875MBps,35.083019ms
29,8.158MBps,270.544us
30,10.099625MBps,479.78us
31,34.285625MBps,514.433us
32,11.618875MBps,189.98us
33,34.285625MBps,514.433us
34,11.845375MBps,370.788us
35,34.285625MBps,514.433us
36,11.618875MBps,189.98us
37,10.314625MBps,6.932556ms
38,41.279125MBps,59.904us
39,8.015125MBps,35.076518ms
40,21.41475MBps,29.5890617ms
41,34.285625MBps,514.433us
42,34.285625MBps,514.433us
43,27.94625MBps,278.066us
44,10.314625MBps,6.932556ms
45,8.158MBps,270.544us
46,8.158MBps,270.544us
47,10.314625MBps,6.932556ms
48,41.279125MBps,59.904us
49,27.94625MBps,278.066us
50,15.376875MBps,35.083019ms
51,8.42725MBps,156.056us
52,8.42725MBps,156.056us
53,11.618875MBps,189.98us
54,15.376875MBps,35.083019ms
55,10.314625MBps,6.932556ms
56,21.41475MBps,29.5890617ms
57,15.376875MBps,35.083019ms
58,21.41475MBps,29.5890617ms
59,11.845375MBps,370.788us
60,21.41475MBps,29.5890617ms
61,8.015125MBps,35.076518ms
62,8.015125MBps,35.076518ms
63,15.376875MBps,35.083019ms
64,21.41475MBps,29.5890617ms
65,10.314625MBps,6.932556ms
66,11.618875MBps,189.98us
67,27.94625MBps,278.066us
68,41.279125MBps,59.904us
69,8.42725MBps,156.056us
70,41.279125MBps,59.904us
71,8.42725MBps,156.056us
72,41.279125MBps,59.904us
73,15.376875MBps,35.083019ms
74,10.314625MBps,6.932556ms
75,11.618875MBps,189.98us
76,27.94625MBps,278.066us
77,27.94625MBps,278.066us
78,27.94625MBps,278.066us
79,8.42725MBps,156.056us
80,15.376875MBps,35.083019ms
81,15.376875MBps,35.083019ms
82,15.376875MBps,35.083019ms
83,10.314625MBps,6.932556ms
84,15.376875MBps,35.083019ms
85,15.376875MBps,35.083019ms
86,8.42725MBps,156.056us
87,8.158MBps,270.544us
88,10.314625MBps,6.932556ms
89,34.285625MBps,514.433us
90,10.314625MBps,6.932556ms
91,8.42725MBps,156.056us
92,1.564125MBps,788.956us
93,2.608MBps,637.001us
94,4.485125MBps,126.045us
95,5.7585MBps,4.760145ms
96,4.97825MBps,7.164412ms
97,7.534MBps,125.428us
98,556kBps,3.101854ms
99,253.125kBps,5.652577ms
100,721.625kBps,6.406us
101,290.125kBps,4.522355ms
102,4.817MBps,117.352us
103,472.125MBps,5.161451ms
104,4.485125MBps,126.045us
105,117.125kBps,53.930106ms
106,251.625kBps,4.455826ms
107,1.281875MBps,6.104672ms
108,990.5kBps,1.742977ms
109,1.858MBps,820.952us
110,5.574625MBps,227.43us
111,3.275625MBps,658.142us
112,4.133375MBps,9.693542ms
113,1.858MBps,820.952us
114,253.125kBps,5.652577ms
115,926.625kBps,601.375us
116,2.368MBps,9.547561ms
117,1.51525MBps,844.683us
118,1.467625MBps,869.727us
119,317.375kBps,4.583831ms
120,4.461125MBps,106.949us
121,4.817MBps,117.352us
122,1.126875MBps,287.84us
123,3.430125MBps,536.941us
124,556kBps,3.101854ms
125,5.574625MBps,227.43us
126,3.9955MBps,678.645us
127,3.430125MBps,536.941us
128,1.469125MBps,1.114548ms
129,1.467625MBps,869.727us
130,4.485125MBps,126.045us
131,317.375kBps,4.583831ms
132,2.179125MBps,320.114us
133,1.469125MBps,1.114548ms
134,259.125kBps,4.460898ms
135,1.37675MBps,449.267us
136,926.625kBps,601.375us
137,4.416625MBps,19.773us
138,253.125kBps,5.652577ms
139,1.888875MBps,1.081287ms
140,1.4655MBps,863.872us
141,472.125MBps,5.161451ms
142,1.62775MBps,278.175us
143,7.20975MBps,1.461517ms
144,259.125kBps,4.460898ms
145,2.583375MBps,410.463us
146,3.37125MBps,666.676us
147,2.368MBps,9.547561ms
148,578.625kBps,5.473705ms
149,1.04925MBps,9.647856ms
150,4.27025MBps,672.289us
151,1.564125MBps,788.956us
152,7.20975MBps,1.461517ms
153,4.817MBps,117.352us
154,272.375kBps,5.922616ms
155,1.37675MBps,449.267us
156,4.485125MBps,126.045us
157,274.375kBps,4.669142ms
158,3.028375MBps,677.908us
159,4.817MBps,117.352us
160,274.375kBps,4.669142ms
161,1.469125MBps,1.114548ms
162,556kBps,3.101854ms
163,2.583375MBps,410.463us
164,768.75kBps,8.76244ms
165,253.125kBps,5.652577ms
166,3.9955MBps,678.645us
167,768.75kBps,8.76244ms
168,1.858MBps,820.952us
169,1.37675MBps,449.267us
170,4.485125MBps,126.045us
171,3.29775MBps,595.883us
172,605kBps,87.981858ms
173,7.534MBps,125.428us
174,290.875kBps,4.47727ms
175,1.37675MBps,449.267us
176,3.1755MBps,472.524us
177,990.5kBps,1.742977ms
178,1.469125MBps,1.114548ms
179,5.816375MBps,164.758us
180,251.625kBps,4.455826ms
181,4.485125MBps,126.045us
182,4.416625MBps,19.773us
183,3.9955MBps,678.645us
184,303.375kBps,4.062241ms
185,2.3485MBps,259.761us
186,4.39725MBps,677.601us
187,1.467625MBps,869.727us
188,3.1755MBps,472.524us
189,251.625kBps,4.455826ms
190,1.23025MBps,1.502106ms
191,1.467625MBps,869.727us
