178,1.469125MBps,1.114548ms
24,10.099625MBps,479.78us
187,1.467625MBps,869.727us
140,1.4655MBps,863.872us
124,556kBps,3.101854ms
104,4.485125MBps,126.045us
131,317.375kBps,4.583831ms
181,4.485125MBps,126.045us
121,4.817MBps,117.352us
79,8.42725MBps,156.056us
154,272.375kBps,5.922616ms
0,255.228625MBps,7.413073ms
23,10.099625MBps,479.78us
96,4.97825MBps,7.164412ms
126,3.9955MBps,678.645us
159,4.817MBps,117.352us
160,274.375kBps,4.669142ms
176,3.1755MBps,472.524us
47,10.314625MBps,6.932556ms
8,34.285625MBps,514.433us
98,556kBps,3.101854ms
37,10.314625MBps,6.932556ms
117,1.51525MBps,844.683us
43,27.94625MBps,278.066us
5,41.279125MBps,59.904us
170,4.485125MBps,126.045us
33,34.285625MBps,514.433us
21,41.279125MBps,59.904us
63,15.376875MBps,35.083019ms
7,34.285625MBps,514.433us
26,21.41475MBps,29.5890617ms
80,15.376875MBps,35.083019ms
119,317.375kBps,4.583831ms
180,251.625kBps,4.455826ms
99,253.125kBps,5.652577ms
179,5.816375MBps,164.758us
162,556kBps,3.101854ms
72,41.279125MBps,59.904us
74,10.314625MBps,6.932556ms
182,4.416625MBps,19.773us
61,8.015125MBps,35.076518ms
108,990.5kBps,1.742977ms
115,926.625kBps,601.375us
92,1.564125MBps,788.956us
103,472.125MBps,5.161451ms
10,34.285625MBps,514.433us
113,1.858MBps,820.952us
152,7.20975MBps,1.461517ms
189,251.625kBps,4.455826ms
142,1.62775MBps,278.175us
91,8.42725MBps,156.056us
167,768.75kBps,8.76244ms
48,41.279125MBps,59.904us
107,1.281875MBps,6.104672ms
87,8.158MBps,270.544us
174,290.875kBps,4.47727ms
77,27.94625MBps,278.066us
133,1.469125MBps,1.114548ms
149,1.04925MBps,9.647856ms
123,3.430125MBps,536.941us
50,15.376875MBps,35.083019ms
39,8.015125MBps,35.076518ms
64,21.41475MBps,29.5890617ms
97,7.534MBps,125.428us
12,41.279125MBps,59.904us
41,34.285625MBps,514.433us
52,8.42725MBps,156.056us
173,7.534MBps,125.428us
56,21.41475MBps,29.5890617ms
45,8.158MBps,270.544us
66,11.618875MBps,189.98us
19,34.285625MBps,514.433us
54,15.376875MBps,35.083019ms
70,41.279125MBps,59.904us
188,3.1755MBps,472.524us
68,41.279125MBps,59.904us
166,3.9955MBps,678.645us
1,34.285625MBps,514.433us
136,926.625kBps,601.375us
88,10.314625MBps,6.932556ms
116,2.368MBps,9.547561ms
144,259.125kBps,4.460898ms
141,472.125MBps,5.161451ms
30,10.099625MBps,479.78us
100,721.625kBps,6.406us
25,8.015125MBps,35.076518ms
128,1.469125MBps,1.114548ms
28,15.376875MBps,35.083019ms
120,4.461125MBps,106.949us
156,4.485125MBps,126.045us
134,259.125kBps,4.460898ms
40,21.41475MBps,29.5890617ms
75,11.618875MBps,189.98us
83,10.314625MBps,6.932556ms
59,11.845375MBps,370.788us
177,990.5kBps,1.742977ms
150,4.27025MBps,672.289us
155,1.37675MBps,449.267us
130,4.485125MBps,126.045us
53,11.618875MBps,189.98us
122,1.126875MBps,287.84us
143,7.20975MBps,1.461517ms
158,3.028375MBps,677.908us
42,34.285625MBps,514.433us
22,11.618875MBps,189.98us
46,8.158MBps,270.544us
13,255.228625MBps,7.413073ms
105,117.125kBps,53.930106ms
6,34.285625MBps,514.433us
85,15.376875MBps,35.083019ms
185,2.3485MBps,259.761us
36,11.618875MBps,189.98us
3,255.228625MBps,7.413073ms
183,3.9955MBps,678.645us
94,4.485125MBps,126.045us
146,3.37125MBps,666.676us
51,8.42725MBps,156.056us
9,34.285625MBps,514.433us
111,3.275625MBps,658.142us
38,41.279125MBps,59.904us
4,132.977875MBps,131.098us
34,11.845375MBps,370.788us
169,1.37675MBps,449.267us
164,768.75kBps,8.76244ms
132,2.179125MBps,320.114us
171,3.29775MBps,595.883us
