127,3.430125MBps,536.941us
32,11.618875MBps,189.98us
90,10.314625MBps,6.932556ms
118,1.467625MBps,869.727us
71,8.42725MBps,156.056us
102,4.817MBps,117.352us
18,34.285625MBps,514.433us
125,5.574625MBps,227.43us
16,34.285625MBps,514.433us
44,10.314625MBps,6.932556ms
55,10.314625MBps,6.932556ms
84,15.376875MBps,35.083019ms
27,8.015125MBps,35.076518ms
190,1.23025MBps,1.502106ms
161,1.469125MBps,1.114548ms
95,5.7585MBps,4.760145ms
57,15.376875MBps,35.083019ms
20,255.228625MBps,7.413073ms
163,2.583375MBps,410.463us
109,1.858MBps,820.952us
151,1.564125MBps,788.956us
89,34.285625MBps,514.433us
175,1.37675MBps,449.267us
148,578.625kBps,5.473705ms
31,34.285625MBps,514.433us
35,34.285625MBps,514.433us
11,118.6825MBps,136.931us
78,27.94625MBps,278.066us
93,2.608MBps,637.001us
106,251.625kBps,4.455826ms
157,274.375kBps,4.669142ms
65,10.314625MBps,6.932556ms
29,8.158MBps,270.544us
138,253.125kBps,5.652577ms
114,253.125kBps,5.652577ms
58,21.41475MBps,29.5890617ms
153,4.817MBps,117.352us
15,132.977875MBps,131.098us
137,4.416625MBps,19.773us
81,15.376875MBps,35.083019ms
60,21.41475MBps,29.5890617ms
101,290.125kBps,4.522355ms
73,15.376875MBps,35.083019ms
86,8.42725MBps,156.056us
76,27.94625MBps,278.066us
62,8.015125MBps,35.076518ms
67,27.94625MBps,278.066us
165,253.125kBps,5.652577ms
139,1.888875MBps,1.081287ms
129,1.467625MBps,869.727us
2,132.977875MBps,131.098us
17,118.6825MBps,136.931us
186,4.39725MBps,677.601us
110,5.574625MBps,227.43us
82,15.376875MBps,35.083019ms
147,2.368MBps,9.547561ms
168,1.858MBps,820.952us
184,303.375kBps,4.062241ms
135,1.37675MBps,449.267us
14,118.6825MBps,136.931us
112,4.133375MBps,9.693542ms
69,8.42725MBps,156.056us
191,1.467625MBps,869.727us
172,605kBps,87.981858ms
145,2.583375MBps,410.463us
49,27.94625MBps,278.066us
